PK_NestSite,UTM_Long,UTM_Lat
254E,559855,4899600
254F,560182,4899390
254G,NA,NA
255A,580466,4973480
256A,609293.6722,5009579.995
256B,609058.7682,5011143.137
256C,610148,5007880
256D,610307,5008930
257A,424531.2496,4854356.647
257B,423730.4833,4854463.888
258A,577161.9716,5017849.864
258B,578026.8156,5018359.482
259A,605430,5007360
259B,605507,5007330
259C,604339.323,5005188.876
259D,NA,NA
260A,612211,5010860
260B,610915.618,5012877.911
261A,550499.4692,4899638.736
262A,445339,4924220
262B,445135.689,4924313.617
262C,445217.3799,4924264.995
263A,646778.0089,4964670.825
263B,645831.245,4964517.839
263C,NA,NA
264A,481438,5082150
265A,609786.2495,4924099.798
265B,NA,NA
266A,627829.952,5000200.697
266B,628353.6448,4999664.076
267A,591049.4525,4919884.108
267B,591111.1354,4919733.854
268A,408592.9374,4849861.445
268B,409592,4849530
268C,409271.589,4849369.794
269A,548895,5042920
269B,549041,5042790
269C,548377.6389,5043091.204
270A,472830.5162,4940946.903
270B,472840.3483,4940891.387
270C,474824.874,4943001.683
270D,474790.0749,4943047.47
270E,474164.4864,4942957.062
270F,474395.5871,4942317.665
271A,500731.8589,4931440.824
271B,500849.8431,4931387.492
271C,NA,NA
272A,440128,4882080
272B,440187,4882770
272C,440345.9602,4881756.404
272D,440211.7422,4882811.721
273A,637436.6072,5004467.196
273B,637532.942,5004296.068
274A,403558.9531,4892227.276
274B,403719.9238,4892036.875
275A,477173.9666,4983767.059
275B,477308.5616,4983823.003
275C,474512,4980930
275D,478470.554,4984100.351
275E,476494.7003,4985769.335
276A,511849,4875140
276B,511766,4875050
276C,511024.4432,4874806.788
276D,510898,4874960
277A,528428,4972667.967
277B,NA,NA
278A,453779,4940140
278B,453721.6845,4940161.448
278C,453281.957,4939182.598
279A,487280,5159330
279B,486400.4077,5156598.235
279C,487782.5293,5158433.621
280A,440603.4894,5059186.691
281A,391353,5011110
282A,367667.0376,4946616.593
283A,615205.0204,5048917.968
283B,615181.8948,5048950.093
284A,532662,5134760
285A,509529,5062030
285B,509337,5061660
285C,NA,NA
286A,555710.3476,4920714.29
287A,432605,4940670
287B,432686.233,4940306.957
287C,432226.864,4940971.291
288A,612686.7471,4943375.105
288B,612873.772,4943363.23
288C,NA,NA
289A,528252.0221,5055172.095
289B,527318.9732,5053600.155
289C,528210.6296,5054802.976
290A,435495.2424,4850646.249
290B,435523.367,4850932.31
290C,NA,NA
291A,429562,4957600
292A,453004.123,4847188.254
292B,452902.723,4847192.225
292C,452885.3345,4847079.837
292D,452748.7388,4846806.741
293A,526575,4913220
293B,525725.9318,4912501.215
294A,510879.1288,4884396.935
294B,512025.606,4883245.161
295A,471552.5171,4868010.325
295B,471783.8506,4868323.607
295C,NA,NA
296A,573715.1134,4994833.962
297A,571871,4912030
297B,572085,4911900
297C,571927.076,4911705.688
298A,630419.4158,4944442.764
298B,629704,4944720
298C,630234.1983,4945667.557
299A,553518.3423,5058653.387
300A,547754,4925720
300B,NA,NA
301A,422378.0847,5004675.254
301B,422476.7574,5003878.919
301C,422456.0813,5003957.506
302A,396893.9437,5004160.284
303A,518274.8736,4894099.123
303B,518149.654,4894388.24
303C,518306.333,4894181.516
304A,529604,5004450
304B,529250.3444,5005334.002
304C,529635.1385,5004894.044
304D,529629.101,5004357.872
305A,533399,4962870
306A,491550.5655,4900088.875
306B,491083.9638,4900927.635
307A,544920,4891000
307B,544674.791,4890872.003
307C,544757.557,4890949.439
308A,449056,4918060
308B,449075.9541,4918021.327
308C,448360.2978,4917316.831
309A,401404,5045800
309B,401476,5045840
310A,576457,4911190
310B,576476.9505,4911184.757
311A,338943.738,4954264.189
311B,338344.956,4954331.278
312A,521375,4908820
312B,520363,4908660
312C,521582.4622,4908814.339
313A,550599.2219,4883172.157
313B,550669.8419,4883030.257
313C,550662.095,4883018.196
313D,550718.1427,4883013.756
314A,541229,4901790
314B,541230.5,4901724.5
314C,541271.478,4901775.673
314D,540841.265,4902529.737
314E,541345.693,4901758.557
314F,541472.693,4901765.172
314G,541562.4856,4901841.172
315A,592538.3295,4932185.249
315B,592752.71,4932202.293
316A,427287.5762,4857326.797
316B,427319.7627,4857416.729
316C,427913.1284,4856891.516
316D,427872.9228,4856673.197
316E,427034.6392,4856892.832
317A,447566.175,4906387.29
317B,447487.792,4906475.725
318A,513342.6963,4979116.854
319A,521167.914,4951625.342
319B,520388.715,4953096.106
320A,420780.707,5077311.216
320B,NA,NA
321A,453250,5140860
321B,453443,5140460
322A,482815.1869,5135326.881
323A,540330,5029540
324A,520625,4903350
324B,520668.2463,4903231.396
325A,513814.516,4945630.376
325B,514435.6272,4946210.449
325C,513787.95,4945685.563
326A,533508,4890720
326B,533496.5744,4889554.708
327A,533356.2619,4940720.772
328A,527655.8994,4877805.641
328B,527668.813,4877002.761
329A,585914.9942,4924791.566
330A,526702.2568,5128559.909
330B,526512.3338,5128624.133
331A,534954.9007,5013040.814
332A,475421,5058580
333A,421902,4902780
333B,421881,4902800
333C,422393.9565,4901624.57
334A,410227.0135,4871635.389
334B,409867.2328,4871013.667
334C,410258.9574,4871614.567
335A,456598,4873530
335B,456959.218,4871843.554
335C,456575.8564,4873577.919
336A,485676.4738,4915841.27
337A,586857.4766,5183150.668
337B,587015.6237,5183018.123
338A,530111,5018150
338B,530728.2435,5018756.935
338C,530762.5047,5018780.759
339A,510122,4920140
339B,513448,4923150
339C,510111,4921670
339D,511140,4921150
340A,508324.2542,4904728.204
340B,508053.3118,4903423.809
340C,507595.823,4902803.765
340D,508673.3429,4904987.459
340E,506251.5874,4903437.775
341A,417945,4928430
341B,417344.0073,4926355.56
341C,416797.3294,4927886.059
341D,416645.5964,4928206.179
342A,613006.8552,4923139.229
342B,612911.6984,4923111.916
342C,NA,NA
343A,508060.2299,5151083.741
343B,508268.4793,5151362.066
344A,574499,5103481
344B,572794,5104203
345A,434170,4858280
345B,434163.07,4858121.301
345C,434192.867,4858229.893
346A,551418.1319,4919460.76
346B,551498.7796,4919475.813
347A,429088.4875,4889376.239
347B,429595.7114,4888564.657
348A,515729.4848,5168061.441
348B,515481.4,5167932.65
348C,NA,NA
349A,469809.0731,5130826.18
349B,470841.502,5133111.211
350A,568921,5044900
351A,435312.8047,4866115.552
351B,435550.1463,4865505.121
352A,617357,4935156.314
352B,617520.9286,4935381.487
352C,617235.966,4935200.011
353A,628289,4991270
353B,628012.933,4990369.953
353C,627692.444,4991003.395
353D,628817.109,4993152.647
354A,505134.1052,4984464.835
355A,474812,5016030
355B,473943.608,5015453.731
355C,NA,NA
356A,406608.2943,4922363.936
357A,527939,4984720
358A,476787,5081060
359A,655756,4975670
359B,655610.543,4976199.196
359C,655726.366,4975677.805
359D,NA,NA
360A,561407,4948180
360B,561385.729,4948156.784
361A,495942,4894380
362A,508941,4912350
362B,508571.063,4911974
362C,509118.8,4912183.312
363A,506913.7583,5125981.988
364A,437459,5179270
364B,437505.975,5179785.406
364C,NA,NA
365A,348073.3657,4958322.25
365B,347940.0712,4959594.702
366A,648376.4357,4958539.823
366B,648877.3548,4958641.291
366C,651673.9403,4957415.202
367A,515544.8235,5162343.222
368A,473207,5120800
369A,542237.7868,4942894.917
370A,541588,4888640
370B,541142.1091,4887968.393
370C,540421.9995,4888464.414
370D,NA,NA
371A,514081,4904350
372A,587689.4466,5098083.241
372B,587635.19,5098665.55
373A,597263.3665,4929970.287
373B,597228.4176,4929963.904
373C,NA,NA
374A,527968,4894680
374B,527992.127,4894621.928
375A,522500,4890450
375B,522455.421,4890405.016
375C,523195.1692,4888520.372
376A,386158,4858800
377A,421975.2763,5008616.618
378A,616444,4982460
378B,NA,NA
379A,430193.2158,4863067.366
379B,430394.1845,4863369.998
379C,430558.6634,4863057.736
379D,430070.448,4862212.11
380A,432938.7142,4983101.37
380B,430816.0547,4981665.728
381A,646299,4971740
381B,645912.978,4972024.75
382A,486337,4955890
382B,NA,NA
383A,451996,4913290
384A,581747.505,5070055.668
385A,516431.5516,5053892.316
385B,NA,NA
386A,538954.36,5026543.86
386B,538809.7272,5027178.521
386C,NA,NA
387A,543015.3268,5048335.162
387B,542699.2006,5048045.654
387C,NA,NA
388A,502644,5075120
389A,471555.5246,5071090.912
390A,485294,5108690
390B,485324.758,5108995.661
391A,534448,4898640
391B,533964.171,4899889.99
391C,533968.848,4899922.378
391D,534308.3,4898746.363
391E,533315.2636,4899676.939
392A,504118.9704,4959000.275
393A,523408.344,4937178
394A,525156,4902140
394B,525009.8,4902330.563
394C,525128.661,4902598.44
395A,489874,4859450
395B,489989.6875,4858972.375
396A,429110,4847760
397A,430984.4247,4890992.624
397B,430446.017,4890082.768
398A,363555.273,4976975.203
398B,363521.2704,4976942.812
399A,582552.379,5168290.163
400A,469087.885,4874007.863
401A,593270.2926,4926304.451
401B,592722.099,4926204.895
402A,539131,4883520
403A,470017.7658,4893461.604
403B,470617.6393,4893827.487
404A,470567.5318,4904208.546
405A,404875.2404,4909882.024
406A,476941.588,4884216.927
406B,476700.7597,4883812.675
407A,412182.75,4890847.11
407B,412056.477,4890969.605
407C,412080.405,4891271.498
407D,412232.9925,4890970.706
408A,403446.8821,4888746.956
408B,403079.8043,4889238.455
408C,403005.652,4889634.628
408D,403044.3428,4889583.824
409A,478436.243,4893748.298
410A,427806.5488,4905581.823
410B,428926.71,4908583.319
410C,429428.838,4909192.685
410D,428977.872,4907334.943
411A,455350.121,4920260.292
412A,404117.0415,4926699.392
412B,404228.3097,4926554.337
413A,656628.2863,4973969.557
413B,NA,NA
414A,445201,4957377
414B,445216.2343,4957465.105
415A,431291.772,4978064.485
416A,438397.939,4931006.699
416B,438526.527,4931487.712
417A,557891.536,4934821.205
417B,558055.4754,4935046.466
418A,601129.319,4942132.955
418B,601408.72,4942313.93
418C,601278.0656,4941741.82
419A,595509.5588,4937326.926
419B,595465.2976,4937357.3
420A,588050.164,4919628.471
420B,588600.6878,4921172.995
421A,521861.7574,4921804.209
422A,522399.3959,4917651.778
422B,521455.345,4917196.17
422C,521665.321,4917901.269
423A,475037.947,4928344.285
424A,442011.3781,4863527.993
425A,649279,4968030
425B,649032.5019,4967783.13
426A,649446.7584,4970734.222
427A,637618,4940940
427B,637680,4940940
428A,620312.067,4937476.554
429A,542952.876,4892394.563
429B,543151.314,4892713.651
429C,543057.651,4892648.563
429D,543999.57,4891861.426
429E,543148.0189,4892382.564
430A,543192.708,4895544.412
430B,543199.133,4895520.714
430C,542114.5172,4896488.925
430C,543204.7356,4895456.732
430D,NA,NA
431A,446111.4669,4870678.747
432A,438389.158,4844162.849
432B,438462.158,4844244.279
433A,416919.598,4979503.236
433B,415787.063,4979207.754
434A,460965.0587,5037559.843
434B,462084.499,5037414.924
434C,461070.756,5037837.839
435A,592764.3285,4935364.09
436A,408952.06,5054622.84
437A,565884.251,4967431.072
438A,538490.0891,5130548.865
439A,499224.783,5063724.306
440A,503754.297,5054963.197
440B,NA,NA
441A,462269.681,5111000.936
442A,637238.067,4961895.011
443A,442054.948,4914746.109
443B,442057.902,4914703.449
443C,NA,NA
444A,398900.319,5052518.941
445A,558467.529,4903647.218
446A,593821.5782,5030835.625
446B,NA,NA
447A,544920.3714,5212786.604
448A,543272.1223,5031697.25
449A,553686.58,5081660.861
450A,536491.243,5125532.329
451B,425497.064,4862547.866
452A,597243,4956956
453A,360609.0717,4867454.767
453B,360548.9703,4867555.532
454A,390304.1077,4877520.52
455A,580426.9851,5172331.927
456A,531940.187,4948415.741
456B,531679.091,4948332.296
457A,525798.4676,4967927.953
457B,525343.7765,4967564.091
458A,550999.9508,4924844.076
459A,430757.991,4867556.345
459B,430784,4867560
459C,430792.635,4867604.538
459D,430793.37,4867584.604
460A,529564.8126,4998727.123
461A,514902.98,5066218.434
462A,521112.377,5039853.66
463A,533713.282,4980102.024
464A,516512.9712,4957119.979
464B,NA,NA
465A,454502.3459,4896874.834
465B,453917.4253,4896721.588
466A,395508.7716,4924845.278
466B,395400.1231,4925023.364
467A,565079.046,4997623.759
468A,545999.471,5018118.159
469A,616425.9074,4935962.113
470A,523914.3967,4886874.147
470B,523451.192,4885862.302
471A,515489.714,4876155.512
471B,516315.425,4877322.538
471C,516376.894,4877468.418
472A,495388.368,4873336.884
472B,495257.2757,4873311.492
473A,510842.8218,4895653.602
473B,511908.068,4897878.324
474A,470368.8437,4877928.031
475A,587235.595,4935556.099
475B,587152.927,4935743.615
475C,587455.5872,4935349.779
476A,582464.062,5051349.796
477A,564497.3587,5073604.084
478A,531357.5992,4896685.512
478B,530840.5037,4896848.34
478C,530243.0213,4897012.767
478D,530817.733,4896899.244
479A,535294.4473,4894946.894
479B,NA,NA
480A,507510.403,4886666.77
480B,508977.158,4886755.087
480C,509365.133,4887087.978
481A,507019.487,4881573.324
481B,NA,NA
482A,398699.6664,5027201.633
483A,387321.5394,5004011.611
483B,387366.819,5004059.728
483C,388330.7827,5004669.657
484A,460203.703,5127931.854
485A,649259.5425,4968790.988
485C,649335.0005,4968785.764
486A,343588.3157,4995425.785
486B,343539.9702,4995782.558
487A,516861.487,5123704.13
487B,516726.9638,5124856.713
487C,517023.7712,5125763.686
488A,348174.9077,4824581.308
488B,348117.6186,4824378.006
489A,474482.187,5114707.639
490A,615057.111,4926332.08
490B,615042.8875,4926340.997
491A,449164.3888,4931166.811
491B,449078.909,4931127.788
491C,448143.0586,4930358.125
491D,NA,NA
492A,612736.479,5014637.464
493A,643864.184,5002235.025
493B,641859.3144,5003351.758
493C,642577.7247,5001713.825
494A,436134.394,4862417.617
494B,436841,4862070
494C,436922,4861960
495A,611459.825,4992489.658
496A,642099.7906,4974944.346
496B,643125.7223,4975218.2
496C,NA,NA
497A,414922.891,4846432.205
497B,415070.16,4846228.482
497C,NA,NA
498A,536321.2605,5050346.118
498B,536452.7313,5050255.954
498C,NA,NA
499A,480969.437,4870534.072
499B,480960.2881,4870576.892
500A,514984.6907,4936997.026
500B,515102.2067,4936887.041
500C,514982.6013,4936948.933
501A,508682.29,4852654.346
501B,508698.1659,4852944.559
501C,508760.3631,4852144.303
502A,586505.9726,4923211.488
502B,586468.737,4923214.081
503A,574969.4494,4940513.415
504A,531770.4587,4873521.101
504B,531169.4115,4873822.935
504C,531747.893,4873492.962
504D,NA,NA
505A,550353.7955,4888142.576
505B,550382.4289,4888078.591
505C,549659.0192,4887951.704
505D,NA,NA
506A,572625.8552,4915386.236
507A,639625.0421,4972599.882
507B,NA,NA
508A,542064.2609,4890998.759
508B,542046.8998,4890982.489
509A,429661.9874,4989951.698
509B,429748.8206,4990142.992
509C,NA,NA
510A,403889.7185,4879490.994
510B,403782.789,4878874.636
511A,555255.737,4947756.333
511B,NA,NA
512A,453283.7267,4933001.926
512B,453309.3994,4932987.652
513A,469142.2383,4962454.733
513B,469050.942,4962800.184
514A,431133,4965998
515A,404287.268,5089077.792
516A,475353.5661,5090410.472
517A,635785.4153,4987348.296
518A,574109.1526,5166510.675
518B,574127.1031,5167696.084
519A,385261.927,4949126.838
519B,NA,NA
520A,656514.985,4959416.626
521A,526488.2079,4934493.68
521B,526821.1343,4934310.362
521C,526888.4336,4934489.31
522A,429152.915,4872952.21
522B,428904.733,4872820.875
523A,356745.825,4924745.036
524A,585334.341,4938305.011
525A,640603.1285,4976217.105
526A,649189.554,4969499.908
526B,649190.943,4969462.81
527A,528181.222,4980770.233
527B,NA,NA
528A,568715.577,4931768.898
529A,371350.549,4862925.257
530A,424371.2356,4848168.716
531A,431139.3202,4870017.749
531B,433219,4869290
531C,432481,4868860
532A,475436.6492,4846747.596
533A,567024.922,4993463.163
534A,411143.1741,4943735.447
535A,544347.1778,4936425.456
535B,545064.1803,4938187.256
535C,545716.8316,4938397.967
535D,546907,4939270
536A,578066.033,5227985.075
537A,408274.609,4914862.233
537B,408279.9194,4914834.432
538A,444486.64,4921330.095
538B,NA,NA
539A,434723.477,4936300.039
540A,461690.976,4941712.608
540B,460511.4501,4941429.787
541A,438886.2529,4896172.558
541B,438870.2484,4896295.851
541C,438944.5336,4896196.835
542A,601170.735,4944432.836
542B,601866.061,4944542.374
543A,469856.4206,4999095.257
544A,503263.3486,4897739.445
545A,648745.729,4972978.032
546A,575056.039,4929653.9
546B,575418.519,4929348.306
546C,NA,NA
547A,388949.594,4824157.173
548A,455262.588,5180717.09
549A,373978.808,4826104.575
549B,375303.8722,4823903.598
550A,562476.8568,5062990.816
551A,449911.911,5040672.935
551B,449853.8379,5040669.293
552A,431843.7219,5106631.808
553A,556115.4986,4924421.97
554A,529677.2781,4888363.617
554B,529314.7169,4888170.236
555A,451403.5705,4935000.14
555B,449145.0512,4933537.725
555C,449138.9433,4933533.05
556A,464690.6627,4859579.118
557A,513550.895,4966938.246
558A,450386.0041,4884277.419
559A,437773.117,4952092.564
560A,389946.907,5048537.672
561A,396122.167,4826305.212
562A,405746.418,4875206.207
562B,406134.3286,4874788.329
563A,445580.5938,4868615.1
563B,445597.3077,4868636.649
564A,611012,4930750
564B,611113,4930750
564C,611023.248,4930791.002
564D,611251.3951,4930815.387
565A,515366.6918,4929788.193
566A,358323,4980659
566B,358904,4981502
567A,341342.4402,4962178.323
568A,439802.861,4911065.905
568B,NA,NA
569A,652119.1847,4976325.167
569B,651032.5725,4977613.009
570A,651520.345,4970999.349
571A,658752.2106,4963329.983
572A,527626.7532,4872372.954
572B,527722.7806,4872395.29
573A,540970.155,4926332.517
573B,540748.3902,4926446.766
574A,552734.2831,4891152.43
574B,551984,4890850
575A,533485.713,4887441.737
575B,NA,NA
576A,633267.2971,4941286.472
576B,634609,4940520
577A,616901.2107,4929812.891
578A,484633.0275,4878355.859
579A,455915.346,4857547.985
579B,NA,NA
580A,428278.393,4894271.303
580B,428325.8617,4893912.092
581A,600557.435,4981321.384
582A,517306.839,4887661.946
582B,517381.1371,4887705.37
583A,490994.7824,4970742.925
583B,NA,NA
584A,529709.6966,5002810.198
585A,479229.993,5178176.688
586A,380176.2135,4932193.917
587A,423824.21,4910408.948
587B,425140.1974,4911163.75
587C,423926.3565,4910637.631
588A,426915.813,4851833
588B,426725.1746,4851609.044
589A,445650.1,4849174.53
589B,445630.3419,4849163.627
590A,498925.852,5030479.062
590B,NA,NA
591A,441440.381,4931150.829
591B,NA,NA
592A,573458.765,4922774.53
593A,601602.995,5004446.69
594A,500675.327,5134840.36
595A,523187.798,5145408.021
596A,570968.2179,4913670.652
597A,436707,4882003
597B,NA,NA
598A,625950.2276,4952203.768
598B,NA,NA
599A,412437.949,4873668.223
600A,359633.3978,4771301.13
601A,439111.298,4889031.233
601B,439425.8991,4889607.978
602A,476467.321,4864804.492
603A,460145.9391,5223132.613
603B,460326.2244,5221858.06
604A,426981.266,4863862.129
604B,426035.228,4863501.32
605A,654563.8327,4967687.441
606A,601553.318,4929790.21
606B,601480.3827,4929770.307
607A,438868.7995,4879680.739
607B,438676.668,4879402.424
608A,616932.765,4928175.334
609A,606061.1883,4931713.683
609B,NA,NA
610A,497349.111,4921943.659
611A,575401.758,5010625.914
611B,NA,NA
612A,583277.5695,5008883.292
613A,519691.782,5054269.927
614A,503044.161,4940765.206
615A,550432.3256,5217642.297
616A,554967.4994,5232661.794
617A,525287.6967,4973332.167
618A,438616.8554,4885809.258
618B,439245.5141,4885843.937
619A,542920.133,5022431.122
620A,550435.1203,5015512.315
620B,NA,NA
621A,458589.4419,4882896.801
622A,544975.3184,5165203.361
623A,599119.9293,4934063.43
623B,599473.9758,4934101.077
623C,598592.9649,4933354.481
624A,588135,4950268
625A,421255.829,4862891.816
626A,402074.3833,4884095.854
627A,545123.9697,5033174.494
628A,539025.314,5048770.563
628B,NA,NA
629A,542758.183,5011724.129
630A,416115.335,4898500.507
630B,416352.6459,4898535.996
630C,416853.5996,4897700.44
631A,559573.159,4936476.816
632A,375533.106,4852042.935
632B,375797.6378,4852054.424
633A,551023.6585,4886224.362
633B,550894.2762,4886075.861
633C,NA,NA
634A,438536.2837,4901215.8
635A,445841.4448,4926884.362
636A,577794.842,4925585.986
637A,420799.6278,4853870.32
638A,458450.5158,4903767.544
639A,454301.126,4868476.46
639B,453732.2835,4867306.769
640A,564472.0536,4924188.01
641A,478663.0581,4951027.277
642A,535071.9648,5107136.077
643A,449115.4201,4951463.662
644A,404410.9114,4841747.461
645A,447999.4239,4872252.181
645B,NA,NA
646A,549771.326,4909400.186
647A,573832.6333,5174748.52
647B,NA,NA
648A,484563.7029,5012155.253
649A,348127,4973684
649B,NA,NA
650A,457327.2206,5080291.807
650B,457120.1787,5080295.598
651A,472568.9078,5056510.985
652A,535101.8396,4914023.569
653A,NA,NA
653B,NA,NA
654A,487556.7782,4921078.021
654B,487604.3604,4919868.028
654C,NA,NA
655A,420312.1,4843606.249
656A,420472.8348,4857029.828
657A,390703.9954,4927467.087
658A,590795.8671,5015316.608
659A,458033.5945,5014408.145
660A,493793,4890357
661A,431593.1804,4850360.889
662A,427615.7422,4841309.558
663A,560812.0239,4970377.904
664A,626893.2167,4968356.076
664B,NA,NA
665A,594184.4919,4926348.657
666A,534366.1518,5022688.42
666B,534777.8737,5022884.487
666C,NA,NA
667A,371810.7001,4900893.245
668A,568673.8773,4982569.29
669A,551260.5241,4893084.224
669B,NA,NA
670A,508328.8394,5011586.239
671A,421774.7618,4916763.699
672A,535689.2334,4904772.003
673A,427053.922,4927800.846
674A,NA,NA
675A,438798.8793,4964171.046
676A,496468.7268,4909768.224
677A,418866.3805,4854517.321
678A,632592.3583,4946904.074
679A,576380.8447,5162424.69
680A,450876.4048,4931770.003
681A,410355.6399,4840178.269
681B,NA,NA
682A,590537.6104,5020151.261
683A,354610.0329,4984222.453
684A,513196,4953887
685A,478251.1437,4900351.867
686A,366040.786,4881422.539
687A,NA,NA
688A,NA,NA
689A,NA,NA
690A,NA,NA
690B,NA,NA
691A,NA,NA
692A,NA,NA
693A,NA,NA
694A,NA,NA
695A,NA,NA
695B,NA,NA
695C,NA,NA
696A,NA,NA
697A,NA,NA
697B,NA,NA
698A,NA,NA
699A,NA,NA
700A,NA,NA
701A,NA,NA
702A,NA,NA
703A,NA,NA
704A,NA,NA
705A,NA,NA
706A,NA,NA
706B,NA,NA
706C,NA,NA
706D,NA,NA
707A,NA,NA
707B,NA,NA
708A,NA,NA
708B,NA,NA
709A,NA,NA
710A,NA,NA
711A,NA,NA
712A,NA,NA
712B,NA,NA
713A,NA,NA
714A,NA,NA
715A,NA,NA
716A,NA,NA
717A,NA,NA
718A,NA,NA
719A,NA,NA
720A,NA,NA
721A,NA,NA
722A,NA,NA
723A,NA,NA
724A,NA,NA
725A,NA,NA
726A,NA,NA
727A,NA,NA
728A,NA,NA
729A,NA,NA
730A,NA,NA
731A,NA,NA
732A,NA,NA
733A,NA,NA
734A,NA,NA
734B,NA,NA
735A,NA,NA
736A,NA,NA
737A,NA,NA
738A,NA,NA
739A,NA,NA
740A,NA,NA
740B,NA,NA
741A,NA,NA
742A,NA,NA
743A,NA,NA
743B,NA,NA
744A,NA,NA
745A,NA,NA
746A,NA,NA
747A,NA,NA
748A,NA,NA
750A,NA,NA
NB1,NA,NA
NB15,NA,NA
NB5,NA,NA
NB99,NA,NA
NA,643801.301,4974571.664
NA,643955.202,4974514.2
NA,641218,4971990
NA,642790.648,4972442.118
NA,641491.5413,4970844.348
NA,608068.9989,5007685.631
NA,359580.955,4769521.973
NA,592271.4186,4922334.315
NA,657587.9772,4970441.346
NA,395254.8518,5007845.123
NA,626983.8124,4954310.105
NA,415064.0762,4846271.881
NA,577136.8358,5015762.191
