"","nest_id","nest_area","lat","long","x","y"
"333","414B","414",4957465,445216,4957465,445216
"334","285C","285",5062113,509742,5062113,509742
"335","080C","080",5000600,603011,5000600,603011
"336","266B","266",4999664,628353,4999664,628353
"337","118B","118",4970390,635997,4970390,635997
"338","741A","741",5149558,453255,5149558,453255
"339","282A","282",4946617,367667,4946617,367667
"340","144D","144",4923732,586258,4923732,586258
"341","435A","435",4935364,592764,4935364,592764
"342","379D","379",4862212,430070,4862212,430070
"343","035D","035",4925100,563288,4925100,563288
"344","686A","686",4881422,366040,4881422,366040
"345","046F","046",4922634,591464,4922634,591464
"346","038E","038",4924680,570659,4924680,570659
"347","476A","476",5051349,582464,5051349,582464
"348","125G","125",4926982,608688,4926982,608688
"349","099C","099",4841201,417255,4841201,417255
"350","401B","401",4926204,592722,4926204,592722
"351","640A","640",4924188,564472,4924188,564472
"352","020E","020",4918770,520460,4918770,520460
"353","291A","291",4957600,429562,4957600,429562
"354","192C","192",4886984,439446,4886984,439446
"355","339D","339",4921150,511140,4921150,511140
"356","334A","334",4871635,410227,4871635,410227
"357","176C","176",5036568,525087,5036568,525087
"358","735A","735",5086550,528212,5086550,528212
"359","322A","322",5135326,482815,5135326,482815
"360","200A","200",5005730,580573,5005730,580573
"361","662A","662",4841309,427615,4841309,427615
"362","625A","625",4862891,421255,4862891,421255
"363","345C","345",4858229,434192,4858229,434192
"364","716A","716",5088316,485919,5088316,485919
"365","140D","140",5012320,617132,5012320,617132
"366","603B","603",5221858,460326,5221858,460326
"367","648A","648",5012155,484563,5012155,484563
"368","617A","617",4973332,525287,4973332,525287
"369","258A","258",5017849,577161,5017849,577161
"370","124A","124",4989290,602457,4989290,602457
"371","373C","373",4930123,596630,4930123,596630
"372","511B","511",4946493,557326,4946493,557326
"373","199D","199",4963269,523280,4963269,523280
"374","721A","721",4992260,526800,4992260,526800
"375","097D","097",5048874,542561,5048874,542561
"376","663A","663",4970377,560812,4970377,560812
"377","004C","004",4902570,436616,4902570,436616
"378","563B","563",4868636,445597,4868636,445597
"379","014E","014",4878902,457451,4878902,457451
"380","670A","670",5011586,508328,5011586,508328
"381","107G","107",4877424,508351,4877424,508351
"382","598B","598",4952180,625839,4952180,625839
"383","303C","303",4894181,518306,4894181,518306
"384","452A","452",4956956,597243,4956956,597243
"385","744A","744",4926107,559225,4926107,559225
"386","466B","466",4925023,395400,4925023,395400
"387","437A","437",4967431,565884,4967431,565884
"388","470B","470",4885862,523451,4885862,523451
"389","631A","631",4936476,559573,4936476,559573
"390","509C","509",4990261,429680,4990261,429680
"391","461A","461",5066218,514902,5066218,514902
"392","024D","024",4892253,550272,4892253,550272
"393","407D","407",4890970,412232,4890970,412232
"394","355C","355",5014474,473708,5014474,473708
"395","156G","156",5008057,389305,5008057,389305
"396","055D","055",4936130,621291,4936130,621291
"397","238B","238",4870212,484111,4870212,484111
"398","488A","488",4824581,348174,4824581,348174
"399","210D","210",4912032,518022,4912032,518022
"400","642A","642",5107136,535071,5107136,535071
"401","479B","479",4894950,535274,4894950,535274
"402","397B","397",4890082,430446,4890082,430446
"403","293B","293",4912501,525725,4912501,525725
"404","374B","374",4894621,527992,4894621,527992
"405","185C","185",5053651,429112,5053651,429112
"406","182A","182",5086020,431739,5086020,431739
"407","597B","597",4880076,435552,4880076,435552
"408","505D","505",4887900,549665,4887900,549665
"409","530A","530",4848168,424371,4848168,424371
"410","487C","487",5125763,517023,5125763,517023
"411","232C","232",4949040,632231,4949040,632231
"412","071D","071",4983926,648056,4983926,648056
"413","701A","701",4979117,554935,4979117,554935
"414","106D","106",4884255,480669,4884255,480669
"415","403B","403",4893827,470617,4893827,470617
"416","017F","017",4891970,516454,4891970,516454
"417","032F","032",4930812,555098,4930812,555098
"418","191D","191",4868541,493439,4868541,493439
"419","190F","190",5044968,547760,5044968,547760
"420","034D","034",4936830,560664,4936830,560664
"421","692A","692",4945771,536957,4945771,536957
"422","442A","442",4961895,637238,4961895,637238
"423","056G","056",4941095,617228,4941095,617228
"424","053E","053",4928146,614744,4928146,614744
"425","531A","531",4870017,431139,4870017,431139
"426","493A","493",5002235,643864,5002235,643864
"427","052J","052",4931013,605786,4931013,605786
"428","116F","116",5186758,516019,5186758,516019
"429","393A","393",4937178,523408,4937178,523408
"430","664B","664",4967738,627512,4967738,627512
"431","601B","601",4889607,439425,4889607,439425
"432","681B","681",4840252,410302,4840252,410302
"433","406B","406",4883812,476700,4883812,476700
"434","742A","742",5087912,559061,5087912,559061
"435","250B","250",4909118,506078,4909118,506078
"436","486B","486",4995782,343539,4995782,343539
"437","714A","714",5122644,462227,5122644,462227
"438","172B","172",5003824,542702,5003824,542702
"439","707B","707",4970788,657006,4970788,657006
"440","560A","560",5048537,389946,5048537,389946
"441","699A","699",4939681,568149,4939681,568149
"442","180D","180",4940008,625982,4940008,625982
"443","613A","613",5054269,519691,5054269,519691
"444","445A","445",4903647,558467,4903647,558467
"445","126D","126",4964938,630757,4964938,630757
"446","011I","011",4867420,434039,4867420,434039
"447","632B","632",4852054,375797,4852054,375797
"448","272D","272",4882811,440211,4882811,440211
"449","306B","306",4900927,491083,4900927,491083
"450","529A","529",4862925,371350,4862925,371350
"451","085G","085",5052089,589422,5052089,589422
"452","026F","026",4911617,553946,4911617,553946
"453","173D","173",5142129,476993,5142129,476993
"454","051F","051",4927230,602873,4927230,602873
"455","450A","450",5125532,536491,5125532,536491
"456","449A","449",5081660,553686,5081660,553686
"457","668A","668",4982569,568673,4982569,568673
"458","290C","290",4850451,435574,4850451,435574
"459","400A","400",4874007,469087,4874007,469087
"460","351B","351",4865505,435550,4865505,435550
"461","679A","679",5162424,576380,5162424,576380
"462","240C","240",4863291,446788,4863291,446788
"463","236D","236",5051810,524899,5051810,524899
"464","602A","602",4864804,476467,4864804,476467
"465","213A","213",5009476,528843,5009476,528843
"466","652A","652",4914023,535101,4914023,535101
"467","526B","526",4969462,649190,4969462,649190
"468","519R01","519",4952253,384485,4952253,384485
"469","672A","672",4904772,535689,4904772,535689
"470","577A","577",4929812,616901,4929812,616901
"471","084D","084",5037803,590723,5037803,590723
"472","157B","157",4899190,520768,4899190,520768
"473","108E","108",4882130,515279,4882130,515279
"474","544A","544",4897739,503263,4897739,503263
"475","391E","391",4899676,533315,4899676,533315
"476","706D","706",4972447,642791,4972447,642791
"477","666C","666",5022850,534716,5022850,534716
"478","587C","587",4910637,423926,4910637,423926
"479","226D","226",5213391,550108,5213391,550108
"480","197H","197",4933224,558465,4933224,558465
"481","696A","696",4922768,542814,4922768,542814
"482","638A","638",4903767,458450,4903767,458450
"483","565A","565",4929788,515366,4929788,515366
"484","457B","457",4967564,525343,4967564,525343
"485","076D","076",4988744,567128,4988744,567128
"486","524A","524",4938305,585334,4938305,585334
"487","264A","264",5082150,481438,5082150,481438
"488","333B","333",4902800,421881,4902800,421881
"489","031G","031",4929557,557860,4929557,557860
"490","288C","288",4942105,614316,4942105,614316
"491","062C","062",4962920,644360,4962920,644360
"492","114A","114",5112827,519001,5112827,519001
"493","362C","362",4912183,509118,4912183,509118
"494","398B","398",4976942,363521,4976942,363521
"495","220B","220",4950254,512515,4950254,512515
"496","081C","081",5013280,582699,5013280,582699
"497","119G","119",4927117,614058,4927117,614058
"498","635A","635",4926884,445841,4926884,445841
"499","459D","459",4867584,430793,4867584,430793
"500","571A","571",4963329,658752,4963329,658752
"501","433B","433",4979207,415787,4979207,415787
"502","583A","583",4970742,490994,4970742,490994
"503","041D","041",4916588,564275,4916588,564275
"504","186B","186",5104341,470419,5104341,470419
"505","383A","383",4913290,451996,4913290,451996
"506","444A","444",5052518,398900,5052518,398900
"507","514A","514",4965998,431133,4965998,431133
"508","392A","392",4959000,504118,4959000,504118
"509","142D","142",4958910,579628,4958910,579628
"510","297C","297",4911705,571927,4911705,571927
"511","745A","745",4877519,458046,4877519,458046
"512","098D","098",5056104,528309,5056104,528309
"513","044A","044",4922341,584155,4922341,584155
"514","244B","244",4923485,434628,4923485,434628
"515","564D","564",4930815,611251,4930815,611251
"516","045B","045",4927008,581852,4927008,581852
"517","739A","739",5175514,521043,5175514,521043
"518","256C","256",5007880,610148,5007880,610148
"519","646A","646",4909400,549771,4909400,549771
"520","222D","222",4968676,621135,4968676,621135
"521","684A","684",4953884,513147,4953884,513147
"522","177B","177",5044860,438930,5044860,438930
"523","673A","673",4927800,427053,4927800,427053
"524","480C","480",4887087,509365,4887087,509365
"525","472B","472",4873311,495257,4873311,495257
"526","139E","139",5154308,492092,5154308,492092
"527","710A","710",4939432,624800,4939432,624800
"528","183B","183",4937073,615862,4937073,615862
"529","599A","599",4873668,412437,4873668,412437
"530","198D","198",4885993,545965,4885993,545965
"531","620B","620",5015512,550435,5015512,550435
"532","003C","003",4898910,425194,4898910,425194
"533","729A","729",5042764,591889,5042764,591889
"534","709A","709",4976121,648376,4976121,648376
"535","042D","042",4914822,569053,4914822,569053
"536","184B","184",4995230,527934,4995230,527934
"537","127E","127",4934700,599835,4934700,599835
"538","344B","344",5104203,572794,5104203,572794
"539","369A","369",4942894,542237,4942894,542237
"540","323A","323",5029540,540330,5029540,540330
"541","132B","132",4994000,634888,4994000,634888
"542","276D","276",4874960,510898,4874960,510898
"543","007A","007",4880270,436986,4880270,436986
"544","365B","365",4959594,347940,4959594,347940
"545","659A","659",5014408,458034,5014408,458034
"546","389A","389",5071090,471555,5071090,471555
"547","455A","455",5172331,580426,5172331,580426
"548","370D","370",4888571,540918,4888571,540918
"549","572B","572",4872395,527722,4872395,527722
"550","481B","481",4881599,507025,4881599,507025
"551","677A","677",4854517,418866,4854517,418866
"552","619A","619",5022431,542920,5022431,542920
"553","218A","218",4968927,648500,4968927,648500
"554","568A","568",4911065,439802,4911065,439802
"555","465B","465",4896721,453917,4896721,453917
"556","251D","251",4934949,455926,4934949,455926
"557","634A","634",4901215,438536,4901215,438536
"558","582B","582",4887705,517381,4887705,517381
"559","270F","270",4942317,474395,4942317,474395
"560","230B","230",4891173,346507,4891173,346507
"561","083D","083",5033217,610757,5033217,610757
"562","651A","651",5056510,472568,5056510,472568
"563","515A","515",5089077,404287,5089077,404287
"564","720A","720",4967453,363321,4967453,363321
"565","294B","294",4883245,512025,4883245,512025
"566","732A","732",4913189,476451,4913189,476451
"567","005D","005",4890910,439363,4890910,439363
"568","175B","175",5036820,507584,5036820,507584
"569","589B","589",4849163,445630,4849163,445630
"570","328B","328",4877002,527668,4877002,527668
"571","500C","500",4936948,514982,4936948,514982
"572","698A","698",5010045,467583,5010045,467583
"573","211D","211",4945765,643164,4945765,643164
"574","174C","174",5025358,524522,5025358,524522
"575","409A","409",4893748,478436,4893748,478436
"576","289C","289",5054802,528210,5054802,528210
"577","517A","517",4987348,635785,4987348,635785
"578","109A","109",4887000,514370,4887000,514370
"579","694A","694",4971005,647396,4971005,647396
"580","691A","691",5007845,395254,5007845,395254
"581","671A","671",4916763,421774,4916763,421774
"582","275E","275",4985769,476494,4985769,476494
"583","736A","736",4989947,525339,4989947,525339
"584","265B","265",4924123,609773,4924123,609773
"585","606B","606",4929770,601480,4929770,601480
"586","624A","624",4950268,588135,4950268,588135
"587","043J","043",4908928,577140,4908928,577140
"588","630C","630",4897700,416853,4897700,416853
"589","542B","542",4944542,601866,4944542,601866
"590","473B","473",4897878,511908,4897878,511908
"591","703A","703",5006156,622960,5006156,622960
"592","090A","090",5128093,476379,5128093,476379
"593","528A","528",4931768,568715,4931768,568715
"594","381B","381",4972024,645912,4972024,645912
"595","743B","743",5006142,607501,5006142,607501
"596","074D","074",4994678,612957,4994678,612957
"597","386C","386",5026986,538813,5026986,538813
"598","305A","305",4962870,533399,4962870,533399
"599","586A","586",4932193,380176,4932193,380176
"600","485C","485",4968785,649335,4968785,649335
"601","269C","269",5043091,548377,5043091,548377
"602","149D","149",5025567,538333,5025567,538333
"603","385B","385",5053985,516449,5053985,516449
"604","058E","058",4952350,623284,4952350,623284
"605","425B","425",4967783,649032,4967783,649032
"606","273B","273",5004296,637532,5004296,637532
"607","440B","440",5058016,503865,5058016,503865
"608","102B","102",4883674,438436,4883674,438436
"609","036F","036",4930130,562067,4930130,562067
"610","189F","189",5020312,583250,5020312,583250
"611","448A","448",5031697,543272,5031697,543272
"612","245B","245",5052697,505551,5052697,505551
"613","527B","527",4978703,527413,4978703,527413
"614","202D","202",4851874,415826,4851874,415826
"615","423R01","423",4928309,474824,4928309,474824
"616","548A","548",5180717,455262,5180717,455262
"617","010E","010",4870970,431311,4870970,431311
"618","647B","647",5177287,571870,5177287,571870
"619","554B","554",4888170,529314,4888170,529314
"620","363A","363",5125981,506913,5125981,506913
"621","360A","360",4948180,561407,4948180,561407
"622","636A","636",4925585,577794,4925585,577794
"623","027A","027",4910658,544129,4910658,544129
"624","060D","060",4960465,629709,4960465,629709
"625","604A","604",4863862,426981,4863862,426981
"626","274B","274",4892036,403719,4892036,403719
"627","702A","702",5015762,577136,5015762,577136
"628","653A","653",4855761,441180,4855761,441180
"629","133B","133",4978612,649308,4978612,649308
"630","178D","178",4868965,429428,4868965,429428
"631","534A","534",4943735,411143,4943735,411143
"632","313D","313",4883013,550718,4883013,550718
"633","316E","316",4856892,427034,4856892,427034
"634","725A","725",4963076,409173,4963076,409173
"635","536A","536",5227985,578066,5227985,578066
"636","235C","235",5143339,485473,5143339,485473
"637","594A","594",5134840,500675,5134840,500675
"638","543A","543",4999095,469856,4999095,469856
"639","499B","499",4870576,480960,4870576,480960
"640","301C","301",5003957,422456,5003957,422456
"641","622A","622",5165203,544975,5165203,544975
"642","588B","588",4851609,426725,4851609,426725
"643","166B","166",4930891,519231,4930891,519231
"644","380B","380",4981665,430816,4981665,430816
"645","498C","498",5050439,535971,5050439,535971
"646","484A","484",5127931,460203,5127931,460203
"647","737A","737",5005170,560482,5005170,560482
"648","352C","352",4935200,617235,4935200,617235
"649","194B","194",4970280,659272,4970280,659272
"650","016G","016",4891356,501534,4891356,501534
"651","008J","008",4877455,436398,4877455,436398
"652","436A","436",5054622,408952,5054622,408952
"653","231E","231",4974856,459182,4974856,459182
"654","669B","669",4893130,551275,4893130,551275
"655","546C","546",4928450,574313,4928450,574313
"656","092H","092",5066150,456469,5066150,456469
"657","460A","460",4998727,529564,4998727,529564
"658","094D","094",4940119,513718,4940119,513718
"659","660A","660",4890357,493793,4890357,493793
"660","246C","246",4906821,543730,4906821,543730
"661","260B","260",5012877,610915,5012877,610915
"662","705A","705",4882567,464671,4882567,464671
"663","575B","575",4887423,533472,4887423,533472
