Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
355-004  ,    19.67,    0.805,    0.683,    0.450,    0.566,    0.130,    0.039
005-014  ,         ,    0.366,    0.246,    0.179,    0.156,    0.021,    0.006
015-024  ,         ,    0.309,    0.150,    0.084,    0.072,    0.007,    0.001
025-034  ,         ,    0.306,    0.135,    0.058,    0.042,    0.006,    0.001
035-044  ,         ,    0.262,    0.120,    0.044,    0.049,    0.008,    0.001
045-054  ,         ,    0.191,    0.097,    0.055,    0.054,    0.008,    0.004
055-064  ,         ,    0.142,    0.092,    0.064,    0.064,    0.010,    0.006
065-074  ,         ,    0.143,    0.080,    0.057,    0.056,    0.011,    0.009
075-084  ,         ,    0.139,    0.081,    0.064,    0.063,    0.011,    0.006
085-094  ,         ,    0.184,    0.128,    0.105,    0.119,    0.020,    0.011
095-104  ,         ,    0.252,    0.167,    0.137,    0.159,    0.039,    0.029
105-114  ,         ,    0.374,    0.234,    0.184,    0.189,    0.036,    0.018
115-124  ,         ,    0.584,    0.449,    0.330,    0.294,    0.046,    0.016
125-134  ,         ,    0.982,    0.828,    0.712,    0.546,    0.063,    0.015
135-144  ,         ,    1.595,    1.316,    1.131,    0.935,    0.090,    0.018
145-154  ,         ,    2.239,    1.434,    1.060,    0.813,    0.062,    0.014
155-164  ,         ,    2.053,    0.945,    0.666,    0.453,    0.044,    0.006
165-174  ,         ,    1.381,    0.479,    0.357,    0.257,    0.014,    0.002
175-184  ,         ,    0.963,    0.346,    0.279,    0.187,    0.012,    0.001
185-194  ,         ,    0.554,    0.161,    0.141,    0.089,    0.005,    0.000
195-204  ,         ,    0.368,    0.086,    0.070,    0.032,    0.001,    0.000
205-214  ,         ,    0.274,    0.057,    0.032,    0.008,    0.000,    0.000
215-224  ,         ,    0.224,    0.042,    0.027,    0.008,    0.001,    0.001
225-234  ,         ,    0.196,    0.045,    0.024,    0.007,    0.000,    0.001
235-244  ,         ,    0.170,    0.059,    0.035,    0.013,    0.001,    0.000
245-254  ,         ,    0.187,    0.071,    0.052,    0.026,    0.001,    0.000
255-264  ,         ,    0.193,    0.097,    0.109,    0.060,    0.002,    0.000
265-274  ,         ,    0.253,    0.171,    0.217,    0.164,    0.016,    0.002
275-284  ,         ,    0.290,    0.194,    0.349,    0.319,    0.033,    0.003
285-294  ,         ,    0.379,    0.308,    0.542,    0.596,    0.104,    0.020
295-304  ,         ,    0.504,    0.563,    0.992,    1.334,    0.304,    0.093
305-314  ,         ,    0.625,    0.805,    1.467,    2.520,    0.707,    0.284
315-324  ,         ,    0.803,    1.076,    1.741,    3.692,    1.489,    0.784
325-334  ,         ,    0.834,    1.141,    1.452,    3.144,    1.398,    0.876
335-344  ,         ,    0.850,    1.089,    1.137,    2.112,    0.967,    0.636
345-354  ,         ,    0.710,    0.832,    0.855,    1.279,    0.359,    0.178